Symbol	space_microg_rep1	space_microg_rep2	space_microg_rep3	space_1g_rep1	space_1g_rep2	ground_rep1	ground_rep2	ground_rep3
MIR5002	1.13941480849568	0.962861301356383	0.469612329310652	1.20277168538683	0.75521142168777	2.33034179439314	2.90855277482131	1.04199520923927
UMPS	54.4640278460936	57.1297705471454	56.2528483038545	66.0224133248825	47.23847442657	57.5303130490806	54.9836004007316	63.9601176965397
ITGB5	189.484682652832	168.121418739863	214.109678427849	143.487411332364	186.46170001471	225.715449741298	216.906319262017	175.392311249304
RP11-71H17.8	2.59216868932768	3.99733328138862	0.704418493965978	4.68105737015415	2.15235255181014	4.5514488171741	6.13585105921208	1.99204966472213
ENO1P3	0.626678144672625	0.612729919044971	0.201262426847422	1.17026434253854	0.566408566265828	0.546173858060892	1.51404117045493	0.582291440457237
HEG1	380.194236224797	286.319937885157	262.781641987117	422.660471713502	322.173192492003	436.866263267639	375.442367084126	359.059290336684
SLC12A8	2.1648881361418	1.86736737232753	1.40883698793196	2.2104993136839	2.75652168916036	3.34986632944014	3.10776871830222	2.26787192599135
ZNF148	139.692255521571	181.57229934366	173.488211942478	102.723203400605	171.281950438786	144.772483976674	150.408037328088	112.075778829059
RP11-775J23.2	2.1648881361418	3.20953767118794	0.972768396429207	3.41327099907073	1.88802855421943	3.0221620146036	4.38275075658006	1.28717055258968
SNX4	68.8491398033516	85.1111035168658	91.1718793618822	45.1852065591268	79.599283845891	62.5551125432408	59.8444694216658	51.1190590885617
OSBPL11	50.0487954631728	49.3393472907165	46.3574456505229	52.8244321284756	50.7124469663338	43.0020884246609	43.1900165466616	48.6673056550575
RP11-379B18.5	2.56368331911528	3.88062282061815	2.98539266490343	4.48601331306439	2.49219769156964	3.64115905373928	4.70149626614951	3.00339795604259
FAM86JP	1.73760758295591	1.4880583748235	1.27466203670034	3.51079302761561	1.62370455662871	0.473350676986106	0.677334207835099	1.34846438842729
SLC41A3	55.945267097138	55.7584226330924	70.4753931344056	49.4761758151015	56.1877297735701	59.8242432529364	61.0397650825513	63.0407101589756
KLF15	2.27882961699136	2.36338683060203	3.28728630517456	1.82041119950439	1.92578912530381	2.22110702278096	2.82886639742894	2.05334350055973
RP11-203H19.2	0.455765923398273	0.700262764622824	0.26834990246323	1.23527902823512	1.92578912530381	0.327704314836535	0.796863773923646	0.0612938358376039
ZXDC	53.8088643312086	52.8406611138306	44.0429277417775	73.2715507800517	47.7293618506671	53.6342728615796	61.0796082712475	77.7818776779194
TXNRD3	3.84552497867293	4.2891094333148	4.15942348818006	2.2104993136839	3.66277539518568	2.40316497546792	2.51012088785949	1.01134829132046
CHCHD6	6.86497422118648	6.68167387910945	8.98972173251819	6.89155668383805	7.85419878555281	7.24590651694117	6.41475338008535	4.38250926238868
PLXNA1	163.449054278706	99.9916872651008	120.65682489503	157.27052470004	131.935435368853	163.670099465581	135.905116642678	172.542147882855
RP11-153F10.2	0.712134255309801	1.07957176212685	0.134174951231615	1.17026434253854	1.13281713253166	0.582585448598285	1.19529566088547	0.643585276294841
TPRA1	50.2481930546596	37.8433669048251	59.4730471334132	59.423422726679	53.846574366338	53.1609221845935	45.2220191701669	71.7137879299966
MCM2	269.955853502839	217.46076603058	329.164699108959	221.765092911053	294.003806463049	288.561855008838	258.30339231735	294.118471266742
PODXL2	3.64612738718618	3.35542574715103	3.92461732352473	1.91793322804927	4.04038110602957	3.27704314836535	1.15545247218929	2.14528425431614
ABTB1	13.9293460338597	12.0795326897437	10.3314712448343	14.6933189674283	15.0287072915866	14.5282246244197	22.7504607455201	13.7911130634609
MGLL	116.733047130383	57.2173033927233	63.4982956703617	173.45918143849	62.6070268579161	69.618961107495	66.6974978774092	149.158549510809
SEC61A1	373.984425518495	290.725757779243	335.06839696315	528.731931427481	303.557230947399	324.135978963871	278.065613910656	569.726204110528
RUVBL1	57.5404478290319	52.2571088099783	57.4939666027469	52.3043146429029	55.2814760675448	58.4770144030528	48.6485333980386	68.7410368918728
EEFSEC	21.3070569188693	13.8301896013008	19.0528430748893	24.0229263648883	18.2383558337596	18.7883807172947	17.4513166489279	27.5822261269218
GATA2	72.1534427479891	48.464018834938	79.5992898181555	57.8305629271127	56.6786171976671	80.4696150876381	56.7367007033636	71.2847310791334
GATA2-AS1	23.0161791316128	16.5437078142142	21.937604526369	15.440987852939	18.276116404844	20.9730761495383	18.9653578193828	13.1781747050848
RPN1	405.147420530852	365.303742211573	447.976618424554	401.855772290594	396.599278099332	412.288439654899	344.125620768927	566.967981497836
RAB7A	125.164716713251	110.028786891361	123.038430279391	139.716559561962	134.050027349579	114.550863830638	119.768625220724	109.961141492661
RN7SL698P	0.683648885097409	1.13792699251209	0.100631213423711	1.33280105678	0.717450850603382	1.31081725934614	1.67341392523966	0.15323458959401
ACAD9	96.2235805774603	97.7741885104618	96.4382461977231	90.9555452895229	95.0055968483215	103.226859173509	109.050807461451	93.9940972569656
RAB43	4.35826164249598	1.37134791405303	4.76321076872232	2.82813882780146	3.70053596627007	3.71398223481407	2.54996407655567	6.37455892711081
ISY1	26.9756455911353	21.3288367058035	28.5121771367181	24.4780291647644	23.9402020675023	22.9757136290949	17.8099053471935	23.3529514541271
CNBP	302.998882949214	299.537397567413	354.657939842966	364.212269272271	273.915182646154	264.603028435233	242.565332782358	334.756284427074
COPG1	233.266696669279	198.524493770571	217.631770897679	245.885541304486	218.369382581019	244.431007277518	215.312591714169	286.977739391662
HMCES	56.3440622801115	51.7319117365111	61.1502340238084	43.9499275308917	58.2645611832115	50.3572297132142	45.7798238119135	47.9011327070875
H1FX	49.1087782461639	17.0105496572961	105.025443076546	44.8926404734922	92.9665260097645	72.8960042558604	31.3964326925917	49.0350686700831
H1FX-AS1	4.32977627228359	4.08486612696647	4.49486086625909	1.82041119950439	5.47528280723633	6.5540862967307	8.36706962619829	2.72757569477337
RPL32P3	11.9353701189923	11.3792699251209	7.17835989089139	15.3434658243941	10.0443119084473	13.253818955611	13.6662137227905	10.8490089432559
SNORA7B	1.05395869785851	0.641907534237589	0.201262426847422	1.10524965684195	0.566408566265828	0.618997039135677	0.876550151316011	0.030646917918802
MBD4	65.7442344502008	80.2384417796986	67.6241754207338	65.3397591250683	73.8596770410639	71.5123638154394	72.9528785027098	60.2211937104459
IFT122	42.4147162462518	47.6470456095447	42.3657408513824	30.5569022773951	47.1629532844012	47.5171256512976	62.4342766869177	22.6480723419946
PLXND1	476.731155874593	316.577124839902	385.015022559119	270.591121869188	405.208688306573	538.636658819652	538.600224794993	289.521433578922
TMCC1	36.2618762803751	41.5781016494802	33.4095628566721	39.6589582749171	34.5886831132999	34.9915385064345	43.4290756788387	33.6503158748446
RP11-332M2.1	5.83950089354037	7.0901604918061	8.85554678128657	4.09592519888488	7.51435364579331	7.02743697371681	8.20769687141356	2.94210412020499
TMCC1-AS1	2.44974183826572	3.18036005599533	1.14048708546873	1.75539651380781	1.9635496963882	2.5488113376175	2.39059132177094	1.86946199304692
FAM86HP	3.53218590633661	3.2970705167658	2.64995528682439	6.53397591250683	3.88933882169202	2.18469543224357	2.90855277482131	1.25652363467088
RP11-77P16.4	0.427280553185881	1.25463745328256	0.436068591502748	0.455102799876098	1.09505656144727	1.34722884988353	0.996079717404558	0.0919407537564059
PIK3R4	87.0797767392825	94.8856046063927	87.6833306298603	80.1956148067381	93.5329345760303	89.6817474935985	90.244822396853	89.8567633379273
ATP2C1	144.079002534279	158.959647569381	141.588117287161	119.692036367414	143.943296973689	151.071689139643	142.598772343637	134.080265894759
ASTE1	14.4420826976828	17.6524571915337	14.9940508001329	13.9456500819176	16.8412147036373	16.8585664188129	19.7223784046103	15.5379873848326
NEK11	4.10189331058445	3.67637951426983	4.12587975037215	5.65627765560293	3.39845139759497	3.64115905373928	5.13977134180752	4.59703768782029
